annotator_labels,captionID,gold_label,pairID,sentence1,sentence1_binary_parse,sentence1_parse,sentence2,sentence2_binary_parse,sentence2_parse
"['entailment', 'neutral', 'entailment', 'entailment', 'neutral']",6620547703.jpg#2,entailment,6620547703.jpg#2r1e,Man and woman rowing on surfboards third rower in distance.,( ( ( ( Man ( and ( woman rowing ) ) ) ( on ( surfboards ( third rower ) ) ) ) ( in distance ) ) . ),(ROOT (NP (NP (NN Man) (CC and) (NN woman) (NN rowing)) (PP (IN on) (NP (JJ surfboards) (JJ third) (NN rower))) (PP (IN in) (NP (NN distance))) (. .))),Couples rowing on surfboards.,( Couples ( ( rowing ( on surfboards ) ) . ) ),(ROOT (S (NP (NNS Couples)) (VP (VBD rowing) (PP (IN on) (NP (NNS surfboards)))) (. .)))
"['entailment', 'neutral', 'entailment', 'neutral', 'neutral']",4941462834.jpg#4,neutral,4941462834.jpg#4r1e,Police are setting up a barricade due to a fire.,( Police ( ( are ( ( setting up ) ( ( a barricade ) ( due ( to ( a fire ) ) ) ) ) ) . ) ),(ROOT (S (NP (NNP Police)) (VP (VBP are) (VP (VBG setting) (PRT (RP up)) (NP (NP (DT a) (NN barricade)) (ADJP (JJ due) (PP (TO to) (NP (DT a) (NN fire))))))) (. .))),People in uniform are working near a fire.,( ( People ( in uniform ) ) ( ( are ( working ( near ( a fire ) ) ) ) . ) ),(ROOT (S (NP (NP (NNS People)) (PP (IN in) (NP (NN uniform)))) (VP (VBP are) (VP (VBG working) (PP (IN near) (NP (DT a) (NN fire))))) (. .)))
"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']",4820525092.jpg#0,neutral,4820525092.jpg#0r1n,A young man sitting under a tree while others walk down the street.,( ( ( A ( young man ) ) ( ( sitting ( under ( a tree ) ) ) ( while ( others ( ( walk down ) ( the street ) ) ) ) ) ) . ),(ROOT (NP (NP (DT A) (JJ young) (NN man)) (VP (VBG sitting) (PP (IN under) (NP (DT a) (NN tree))) (SBAR (IN while) (S (NP (NNS others)) (VP (VBP walk) (PRT (RP down)) (NP (DT the) (NN street)))))) (. .))),A young man is resting.,( ( A ( young man ) ) ( ( is resting ) . ) ),(ROOT (S (NP (DT A) (JJ young) (NN man)) (VP (VBZ is) (VP (VBG resting))) (. .)))
"['neutral', 'neutral', 'neutral', 'entailment', 'neutral']",3836884647.jpg#3,neutral,3836884647.jpg#3r1n,A man walks by a building at night.,( ( A man ) ( ( walks ( by ( ( a building ) ( at night ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NN man)) (VP (VBZ walks) (PP (IN by) (NP (NP (DT a) (NN building)) (PP (IN at) (NP (NN night)))))) (. .))),A man is in the city.,( ( A man ) ( ( is ( in ( the city ) ) ) . ) ),(ROOT (S (NP (DT A) (NN man)) (VP (VBZ is) (PP (IN in) (NP (DT the) (NN city)))) (. .)))
"['neutral', 'entailment', 'entailment', 'neutral', 'neutral']",3338210819.jpg#4,neutral,3338210819.jpg#4r1n,A silhouette of a man fishing.,( ( ( A silhouette ) ( of ( a ( man fishing ) ) ) ) . ),(ROOT (NP (NP (DT A) (NN silhouette)) (PP (IN of) (NP (DT a) (NN man) (NN fishing))) (. .))),A man took a fishing trip.,( ( A man ) ( ( took ( a ( fishing trip ) ) ) . ) ),(ROOT (S (NP (DT A) (NN man)) (VP (VBD took) (NP (DT a) (NN fishing) (NN trip))) (. .)))
"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']",3557871242.jpg#3,neutral,3557871242.jpg#3r1n,A runner poses for a picture with friends in a parking lot.,( ( A runner ) ( ( poses ( for ( ( a picture ) ( with ( friends ( in ( a ( parking lot ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NN runner)) (VP (VBZ poses) (PP (IN for) (NP (NP (DT a) (NN picture)) (PP (IN with) (NP (NP (NNS friends)) (PP (IN in) (NP (DT a) (NN parking) (NN lot)))))))) (. .))),The runner just got first place.,( ( The runner ) ( just ( ( got ( first place ) ) . ) ) ),(ROOT (S (NP (DT The) (NN runner)) (ADVP (RB just)) (VP (VBD got) (NP (JJ first) (NN place))) (. .)))
"['neutral', 'entailment', 'entailment', 'entailment', 'entailment']",1975531316.jpg#0,entailment,1975531316.jpg#0r1n,A dog with a purple leash is held by a woman wearing white shoes.,( ( ( A dog ) ( with ( a ( purple leash ) ) ) ) ( ( is ( held ( by ( ( a woman ) ( wearing ( white shoes ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN dog)) (PP (IN with) (NP (DT a) (JJ purple) (NN leash)))) (VP (VBZ is) (VP (VBN held) (PP (IN by) (NP (NP (DT a) (NN woman)) (VP (VBG wearing) (NP (JJ white) (NNS shoes))))))) (. .))),A woman is holding a leash on her dog.,( ( A woman ) ( ( is ( holding ( ( a leash ) ( on ( her dog ) ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NN woman)) (VP (VBZ is) (VP (VBG holding) (NP (NP (DT a) (NN leash)) (PP (IN on) (NP (PRP$ her) (NN dog)))))) (. .)))
"['neutral', 'neutral', 'entailment', 'entailment', 'entailment']",1979233991.jpg#1,entailment,1979233991.jpg#1r1n,An elderly lady holding a scruffy dog and smiling contently.,( ( ( An ( elderly lady ) ) ( ( ( holding ( a ( scruffy dog ) ) ) and ) ( smiling contently ) ) ) . ),(ROOT (NP (NP (DT An) (JJ elderly) (NN lady)) (VP (VP (VBG holding) (NP (DT a) (JJ scruffy) (NN dog))) (CC and) (VP (VBG smiling) (ADVP (RB contently)))) (. .))),a woman holding her scruffy dog,( a ( woman ( holding ( her ( scruffy dog ) ) ) ) ),(ROOT (FRAG (NP (DT a) (NN woman) (S (VP (VBG holding) (NP (PRP$ her) (JJ scruffy) (NN dog)))))))
"['contradiction', 'contradiction', 'neutral', 'contradiction', 'contradiction']",2899276965.jpg#1,contradiction,2899276965.jpg#1r1c,A man wearing black pants rides along a concrete ledge on rollerblades.,( ( ( A man ) ( ( wearing ( black ( pants rides ) ) ) ( along ( ( a ( concrete ledge ) ) ( on rollerblades ) ) ) ) ) . ),(ROOT (NP (NP (DT A) (NN man)) (VP (VBG wearing) (NP (JJ black) (NNS pants) (NNS rides)) (PP (IN along) (NP (NP (DT a) (JJ concrete) (NN ledge)) (PP (IN on) (NP (NNS rollerblades)))))) (. .))),The roller blade wheels are square.,( ( The ( roller ( blade wheels ) ) ) ( ( are square ) . ) ),(ROOT (S (NP (DT The) (NN roller) (NN blade) (NNS wheels)) (VP (VBP are) (ADJP (JJ square))) (. .)))
"['contradiction', 'contradiction', 'contradiction', 'contradiction', 'contradiction']",322628645.jpg#0,contradiction,322628645.jpg#0r1c,"An Asian woman in a purple shirt preparing a bowl of food for the younger Asian boy sitting near buy, while an Asian man eats a roll and prepares to take some food up with his chopsticks.","( ( ( ( An ( Asian woman ) ) ( in ( a ( purple shirt ) ) ) ) ( ( ( ( preparing ( ( a bowl ) ( of food ) ) ) ( for ( ( the ( younger ( Asian ( boy sitting ) ) ) ) ( near buy ) ) ) ) , ) ( while ( ( an ( Asian man ) ) ( ( ( eats ( a roll ) ) and ) ( prepares ( to ( ( ( take ( some food ) ) up ) ( with ( his chopsticks ) ) ) ) ) ) ) ) ) ) . )","(ROOT (NP (NP (NP (DT An) (JJ Asian) (NN woman)) (PP (IN in) (NP (DT a) (JJ purple) (NN shirt)))) (VP (VBG preparing) (NP (NP (DT a) (NN bowl)) (PP (IN of) (NP (NN food)))) (PP (IN for) (NP (NP (DT the) (JJR younger) (JJ Asian) (NN boy) (NN sitting)) (PP (IN near) (NP (NN buy))))) (, ,) (SBAR (IN while) (S (NP (DT an) (JJ Asian) (NN man)) (VP (VP (VBZ eats) (NP (DT a) (NN roll))) (CC and) (VP (VBZ prepares) (S (VP (TO to) (VP (VB take) (NP (DT some) (NN food)) (PRT (RP up)) (PP (IN with) (NP (PRP$ his) (NNS chopsticks))))))))))) (. .)))",A woman is doing the dishes.,( ( A woman ) ( ( is ( doing ( the dishes ) ) ) . ) ),(ROOT (S (NP (DT A) (NN woman)) (VP (VBZ is) (VP (VBG doing) (NP (DT the) (NNS dishes)))) (. .)))
"['neutral', 'neutral', 'neutral', 'neutral', 'neutral']",4972937159.jpg#0,neutral,4972937159.jpg#0r1n,"A man in a black suit with a cat on a leash is looking in a shop while the cat stands beside him staring the opposite direction of the man, as a woman in a green jacket, black pants and high heels has walked past both cat and man.","( ( ( A man ) ( in ( ( a ( black suit ) ) ( with ( ( a cat ) ( on ( a leash ) ) ) ) ) ) ) ( ( is ( ( looking ( in ( a shop ) ) ) ( while ( ( the cat ) ( stands ( beside ( him ( staring ( ( the ( opposite direction ) ) ( of ( ( ( the man ) , ) ( as ( ( ( a woman ) ( in ( ( ( ( ( a ( green jacket ) ) , ) ( black pants ) ) and ) ( high heels ) ) ) ) ( has ( walked ( past ( both ( ( cat and ) man ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) . ) )","(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN in) (NP (NP (DT a) (JJ black) (NN suit)) (PP (IN with) (NP (NP (DT a) (NN cat)) (PP (IN on) (NP (DT a) (NN leash)))))))) (VP (VBZ is) (VP (VBG looking) (PP (IN in) (NP (DT a) (NN shop))) (SBAR (IN while) (S (NP (DT the) (NN cat)) (VP (VBZ stands) (PP (IN beside) (S (NP (PRP him)) (VP (VBG staring) (NP (NP (DT the) (JJ opposite) (NN direction)) (PP (IN of) (NP (NP (DT the) (NN man)) (, ,) (SBAR (IN as) (S (NP (NP (DT a) (NN woman)) (PP (IN in) (NP (NP (DT a) (JJ green) (NN jacket)) (, ,) (NP (JJ black) (NNS pants)) (CC and) (NP (JJ high) (NNS heels))))) (VP (VBZ has) (VP (VBN walked) (PP (IN past) (NP (DT both) (NN cat) (CC and) (NN man)))))))))))))))))) (. .)))",A man taking his cat with him while running some errands.,( ( ( A man ) ( ( ( taking ( his cat ) ) ( with him ) ) ( while ( running ( some errands ) ) ) ) ) . ),(ROOT (NP (NP (DT A) (NN man)) (VP (VBG taking) (NP (PRP$ his) (NN cat)) (PP (IN with) (NP (PRP him))) (SBAR (IN while) (S (VP (VBG running) (NP (DT some) (NNS errands)))))) (. .)))
"['neutral', 'entailment', 'entailment', 'entailment', 'neutral']",69902502.jpg#1,entailment,69902502.jpg#1r1n,The man is trying to make a pottery that he can market soon.,( ( The man ) ( ( is ( trying ( to ( ( make ( a pottery ) ) ( that ( he ( can ( market soon ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT The) (NN man)) (VP (VBZ is) (VP (VBG trying) (S (VP (TO to) (VP (VB make) (NP (DT a) (NN pottery)) (SBAR (IN that) (S (NP (PRP he)) (VP (MD can) (VP (VB market) (ADVP (RB soon))))))))))) (. .))),An old man is making pottery to sell.,( ( An ( old man ) ) ( ( is ( ( making pottery ) ( to sell ) ) ) . ) ),(ROOT (S (NP (DT An) (JJ old) (NN man)) (VP (VBZ is) (VP (VBG making) (NP (NN pottery)) (S (VP (TO to) (VP (VB sell)))))) (. .)))
"['entailment', 'entailment', 'entailment', 'entailment', 'entailment']",2407214681.jpg#1,entailment,2407214681.jpg#1r1e,Two small boys in blue soccer uniforms use a wooden set of steps to wash their hands in an adult-sized bathroom.,( ( ( Two ( small boys ) ) ( in ( blue ( soccer uniforms ) ) ) ) ( ( use ( ( ( a ( wooden set ) ) ( of steps ) ) ( to ( ( wash ( their hands ) ) ( in ( an ( adult-sized bathroom ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (CD Two) (JJ small) (NNS boys)) (PP (IN in) (NP (JJ blue) (NN soccer) (NNS uniforms)))) (VP (VBP use) (S (NP (NP (DT a) (JJ wooden) (NN set)) (PP (IN of) (NP (NNS steps)))) (VP (TO to) (VP (VB wash) (NP (PRP$ their) (NNS hands)) (PP (IN in) (NP (DT an) (JJ adult-sized) (NN bathroom))))))) (. .))),Two boys washing their hands,( ( Two boys ) ( washing ( their hands ) ) ),(ROOT (S (NP (NP (CD Two) (NNS boys)) (VP (VBG washing) (NP (PRP$ their) (NNS hands))))))
"['entailment', 'entailment', 'entailment', 'contradiction', 'entailment']",3364160101.jpg#2,entailment,3364160101.jpg#2r1e,Two lacrosse players are running on the sports-field.,( ( Two ( lacrosse players ) ) ( ( are ( running ( on ( the sports-field ) ) ) ) . ) ),(ROOT (S (NP (CD Two) (JJ lacrosse) (NNS players)) (VP (VBP are) (VP (VBG running) (PP (IN on) (NP (DT the) (NN sports-field))))) (. .))),Some of the people in the picture are at least fairly athletic.,( ( Some ( of ( ( the people ) ( in ( the picture ) ) ) ) ) ( ( are ( ( at least ) ( fairly athletic ) ) ) . ) ),(ROOT (S (NP (NP (DT Some)) (PP (IN of) (NP (NP (DT the) (NNS people)) (PP (IN in) (NP (DT the) (NN picture)))))) (VP (VBP are) (ADJP (ADVP (IN at) (JJS least)) (RB fairly) (JJ athletic))) (. .)))
"['neutral', 'neutral', 'entailment', 'neutral', 'neutral']",200797624.jpg#4,neutral,200797624.jpg#4r1n,Army men grilling a lot of meat while his troop looks on.,( ( Army men ) ( ( ( grilling ( ( a lot ) ( of meat ) ) ) ( while ( ( his troop ) ( looks on ) ) ) ) . ) ),(ROOT (S (NP (NNP Army) (NNS men)) (VP (VBD grilling) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN meat)))) (SBAR (IN while) (S (NP (PRP$ his) (NN troop)) (VP (VBZ looks) (PRT (RP on)))))) (. .))),The men here will eat a lot of food soon.,( ( The men ) ( here ( ( will ( ( eat ( ( a lot ) ( of food ) ) ) soon ) ) . ) ) ),(ROOT (S (NP (DT The) (NNS men)) (ADVP (RB here)) (VP (MD will) (VP (VB eat) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN food)))) (ADVP (RB soon)))) (. .)))
"['neutral', 'entailment', 'neutral', 'neutral', 'neutral']",4709236295.jpg#2,neutral,4709236295.jpg#2r1n,A woman with red-hair and large tattoo is sitting in a chair outside.,( ( ( A woman ) ( with ( red-hair ( and ( large tattoo ) ) ) ) ) ( ( is ( sitting ( in ( a ( chair outside ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN woman)) (PP (IN with) (NP (JJ red-hair) (CC and) (JJ large) (NN tattoo)))) (VP (VBZ is) (VP (VBG sitting) (PP (IN in) (NP (DT a) (NN chair) (NN outside))))) (. .))),A lady is sitting at a table outside,( ( A lady ) ( is ( sitting ( at ( a ( table outside ) ) ) ) ) ),(ROOT (S (NP (DT A) (NN lady)) (VP (VBZ is) (VP (VBG sitting) (PP (IN at) (NP (DT a) (NN table) (NN outside)))))))
"['neutral', 'contradiction', 'contradiction', 'contradiction', 'neutral']",484093882.jpg#0,contradiction,484093882.jpg#0r1n,"A man in a white shirt, dark shorts and a red cap is standing in a small green rowboat with green oars, in the middle of what appears to be a shallow river, against a bank of tall dried grasses.","( ( ( A man ) ( in ( ( ( ( ( a ( white shirt ) ) , ) ( dark shorts ) ) and ) ( a ( red cap ) ) ) ) ) ( ( is ( ( ( standing ( in ( ( a ( small ( green rowboat ) ) ) ( with ( green oars ) ) ) ) ) , ) ( in ( ( the middle ) ( of ( what ( appears ( to ( ( ( be ( a ( shallow river ) ) ) , ) ( against ( ( a bank ) ( of ( tall ( dried grasses ) ) ) ) ) ) ) ) ) ) ) ) ) ) . ) )","(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN in) (NP (NP (DT a) (JJ white) (NN shirt)) (, ,) (NP (JJ dark) (NNS shorts)) (CC and) (NP (DT a) (JJ red) (NN cap))))) (VP (VBZ is) (VP (VBG standing) (PP (IN in) (NP (NP (DT a) (JJ small) (JJ green) (NN rowboat)) (PP (IN with) (NP (JJ green) (NNS oars))))) (, ,) (PP (IN in) (NP (NP (DT the) (NN middle)) (PP (IN of) (SBAR (WHNP (WP what)) (S (VP (VBZ appears) (S (VP (TO to) (VP (VB be) (NP (DT a) (JJ shallow) (NN river)) (, ,) (PP (IN against) (NP (NP (DT a) (NN bank)) (PP (IN of) (NP (JJ tall) (VBN dried) (NNS grasses)))))))))))))))) (. .)))",The man is fishing in the lake.,( ( The man ) ( ( is ( fishing ( in ( the lake ) ) ) ) . ) ),(ROOT (S (NP (DT The) (NN man)) (VP (VBZ is) (VP (VBG fishing) (PP (IN in) (NP (DT the) (NN lake))))) (. .)))
"['neutral', 'contradiction', 'contradiction', 'contradiction', 'contradiction']",2574683131.jpg#3,contradiction,2574683131.jpg#3r1n,A man in a blue jacket standing at a table with his back to the camera.,( ( ( ( A man ) ( in ( a ( blue jacket ) ) ) ) ( ( standing ( at ( ( a table ) ( with ( his back ) ) ) ) ) ( to ( the camera ) ) ) ) . ),(ROOT (NP (NP (NP (DT A) (NN man)) (PP (IN in) (NP (DT a) (JJ blue) (NN jacket)))) (VP (VBG standing) (PP (IN at) (NP (NP (DT a) (NN table)) (PP (IN with) (NP (PRP$ his) (NN back))))) (PP (TO to) (NP (DT the) (NN camera)))) (. .))),the boy was listening,( ( the boy ) ( was listening ) ),(ROOT (S (NP (DT the) (NN boy)) (VP (VBD was) (VP (VBG listening)))))
"['contradiction', 'contradiction', 'neutral', 'neutral', 'neutral']",4508496980.jpg#0,neutral,4508496980.jpg#0r1c,Man walking down a brick sidewalk in a business suit reading a paper and smoking a cigar with a woman wearing sunglasses walking behind him to his left.,( Man ( ( ( ( ( ( walking down ) ( a ( brick sidewalk ) ) ) ( in ( ( a ( business suit ) ) ( reading ( a paper ) ) ) ) ) and ) ( ( smoking ( a cigar ) ) ( with ( ( a woman ) ( wearing ( sunglasses ( ( walking ( behind him ) ) ( to ( his left ) ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (NNP Man)) (VP (VP (VBG walking) (PRT (RP down)) (NP (DT a) (NN brick) (NN sidewalk)) (PP (IN in) (NP (NP (DT a) (NN business) (NN suit)) (VP (VBG reading) (NP (DT a) (NN paper)))))) (CC and) (VP (VBG smoking) (NP (DT a) (NN cigar)) (PP (IN with) (NP (NP (DT a) (NN woman)) (VP (VBG wearing) (NP (NP (NNS sunglasses)) (VP (VBG walking) (PP (IN behind) (NP (PRP him))) (PP (TO to) (NP (PRP$ his) (NN left)))))))))) (. .))),The woman is a secret agent on mission to murder the man.,( ( The woman ) ( ( is ( ( ( a ( secret agent ) ) ( on mission ) ) ( to ( murder ( the man ) ) ) ) ) . ) ),(ROOT (S (NP (DT The) (NN woman)) (VP (VBZ is) (NP (NP (DT a) (JJ secret) (NN agent)) (PP (IN on) (NP (NN mission))) (S (VP (TO to) (VP (VB murder) (NP (DT the) (NN man))))))) (. .)))
"['contradiction', 'neutral', 'neutral', 'neutral', 'neutral']",4850944716.jpg#0,neutral,4850944716.jpg#0r1c,an older man wearing a suit has his arms folded behind his back and looking in a store window.,( ( ( an ( older man ) ) ( wearing ( a suit ) ) ) ( ( has ( ( his arms ) ( ( ( folded ( behind ( his back ) ) ) and ) ( looking ( in ( a ( store window ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT an) (JJR older) (NN man)) (VP (VBG wearing) (NP (DT a) (NN suit)))) (VP (VBZ has) (NP (NP (PRP$ his) (NNS arms)) (VP (VP (VBN folded) (PP (IN behind) (NP (PRP$ his) (NN back)))) (CC and) (VP (VBG looking) (PP (IN in) (NP (DT a) (NN store) (NN window))))))) (. .))),Well dressed looter.,( Well ( ( dressed looter ) . ) ),(ROOT (S (NP (NNP Well)) (VP (VBD dressed) (NP (NN looter))) (. .)))
"['entailment', 'entailment', 'entailment', 'neutral', 'entailment']",5614715384.jpg#1,entailment,5614715384.jpg#1r1e,A happy woman quite stands in front of a business that displays a closed sign and looks very animated.,( ( A ( happy woman ) ) ( quite ( ( stands ( in ( front ( of ( ( a business ) ( that ( ( ( displays ( a ( closed sign ) ) ) and ) ( looks ( very animated ) ) ) ) ) ) ) ) ) . ) ) ),(ROOT (S (NP (DT A) (JJ happy) (NN woman)) (ADVP (RB quite)) (VP (VBZ stands) (PP (IN in) (NP (NP (NN front)) (PP (IN of) (NP (NP (DT a) (NN business)) (SBAR (WHNP (WDT that)) (S (VP (VP (VBZ displays) (NP (DT a) (VBN closed) (NN sign))) (CC and) (VP (VBZ looks) (ADJP (RB very) (VBN animated))))))))))) (. .))),A woman happily stands by a bussiness showing a closed sign and looks very colorful.,( ( A woman ) ( ( ( ( happily ( stands ( by ( ( a bussiness ) ( showing ( a ( closed sign ) ) ) ) ) ) ) and ) ( looks ( very colorful ) ) ) . ) ),(ROOT (S (NP (DT A) (NN woman)) (VP (VP (ADVP (RB happily)) (VBZ stands) (PP (IN by) (NP (NP (DT a) (NNS bussiness)) (VP (VBG showing) (NP (DT a) (JJ closed) (NN sign)))))) (CC and) (VP (VBZ looks) (ADJP (RB very) (JJ colorful)))) (. .)))
"['entailment', 'entailment', 'entailment', 'entailment', 'entailment']",4580613274.jpg#1,entailment,4580613274.jpg#1r1e,A man with black clothing is sweeping steps with a broom.,( ( ( A man ) ( with ( black clothing ) ) ) ( ( is ( ( sweeping steps ) ( with ( a broom ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN with) (NP (JJ black) (NN clothing)))) (VP (VBZ is) (NP (NP (JJ sweeping) (NNS steps)) (PP (IN with) (NP (DT a) (NN broom))))) (. .))),The man is sweeping the steps.,( ( The man ) ( ( is ( sweeping ( the steps ) ) ) . ) ),(ROOT (S (NP (DT The) (NN man)) (VP (VBZ is) (VP (VBG sweeping) (NP (DT the) (NNS steps)))) (. .)))
"['entailment', 'neutral', 'entailment', 'entailment', 'entailment']",4950715878.jpg#1,entailment,4950715878.jpg#1r1e,A man in a black t-shirt and jeans in standing on the sidewalk looking at the camera as people walk by.,( ( ( A man ) ( in ( ( ( a ( black t-shirt ) ) and ) ( jeans ( in ( standing ( on ( ( the sidewalk ) ( looking ( at ( ( the camera ) ( as people ) ) ) ) ) ) ) ) ) ) ) ) ( ( walk by ) . ) ),(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN in) (NP (NP (DT a) (JJ black) (NN t-shirt)) (CC and) (NP (NP (NNS jeans)) (PP (IN in) (S (VP (VBG standing) (PP (IN on) (NP (NP (DT the) (NN sidewalk)) (VP (VBG looking) (PP (IN at) (NP (NP (DT the) (NN camera)) (PP (IN as) (NP (NNS people))))))))))))))) (VP (VBP walk) (PP (IN by))) (. .))),There is a man in black outside on a busy sidewalk.,( There ( ( is ( ( a man ) ( in ( ( black outside ) ( on ( a ( busy sidewalk ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (EX There)) (VP (VBZ is) (NP (NP (DT a) (NN man)) (PP (IN in) (NP (NP (JJ black) (NN outside)) (PP (IN on) (NP (DT a) (JJ busy) (NN sidewalk))))))) (. .)))
"['contradiction', 'neutral', 'contradiction', 'contradiction', 'contradiction']",2346468781.jpg#3,contradiction,2346468781.jpg#3r1c,Two friends having a laugh.,( ( ( Two friends ) ( having ( a laugh ) ) ) . ),(ROOT (NP (NP (CD Two) (NNS friends)) (VP (VBG having) (NP (DT a) (NN laugh))) (. .))),Two friends are having a picnic.,( ( Two friends ) ( ( are ( having ( a picnic ) ) ) . ) ),(ROOT (S (NP (CD Two) (NNS friends)) (VP (VBP are) (VP (VBG having) (NP (DT a) (NN picnic)))) (. .)))
"['entailment', 'entailment', 'entailment', 'entailment', 'entailment']",4937760215.jpg#4,entailment,4937760215.jpg#4r1e,Elderly woman climbing up the stairs.,( ( ( Elderly woman ) ( ( climbing up ) ( the stairs ) ) ) . ),(ROOT (NP (NP (JJ Elderly) (NN woman)) (VP (VBG climbing) (PRT (RP up)) (NP (DT the) (NNS stairs))) (. .))),The old lady was walking up the stairs.,( ( The ( old lady ) ) ( ( was ( ( walking up ) ( the stairs ) ) ) . ) ),(ROOT (S (NP (DT The) (JJ old) (NN lady)) (VP (VBD was) (VP (VBG walking) (PRT (RP up)) (NP (DT the) (NNS stairs)))) (. .)))
"['contradiction', 'neutral', 'neutral', 'neutral', 'neutral']",3538194939.jpg#0,neutral,3538194939.jpg#0r1c,A man wearing a blue apron and long rubber boots is dragging a flotation device from a long row of flotation devices.,( ( ( A man ) ( wearing ( ( ( a ( blue apron ) ) and ) ( long ( rubber boots ) ) ) ) ) ( ( is ( ( dragging ( a ( flotation device ) ) ) ( from ( ( a ( long row ) ) ( of ( flotation devices ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN man)) (VP (VBG wearing) (NP (NP (DT a) (JJ blue) (NN apron)) (CC and) (NP (JJ long) (NN rubber) (NNS boots))))) (VP (VBZ is) (VP (VBG dragging) (NP (DT a) (NN flotation) (NN device)) (PP (IN from) (NP (NP (DT a) (JJ long) (NN row)) (PP (IN of) (NP (NN flotation) (NNS devices))))))) (. .))),A worker pulls up his long boots before climbing onto the flotation device.,( ( A worker ) ( ( ( ( pulls up ) ( his ( long boots ) ) ) ( before ( climbing ( onto ( the ( flotation device ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NN worker)) (VP (VBZ pulls) (PRT (RP up)) (NP (PRP$ his) (JJ long) (NNS boots)) (PP (IN before) (S (VP (VBG climbing) (PP (IN onto) (NP (DT the) (NN flotation) (NN device))))))) (. .)))
"['neutral', 'neutral', 'neutral', 'contradiction', 'neutral']",4467029654.jpg#1,neutral,4467029654.jpg#1r1n,An African-American male youth is riding a green bicycle while other people are looking at pictures on a board.,( ( An ( African-American ( male youth ) ) ) ( ( is ( ( riding ( a ( green bicycle ) ) ) ( while ( ( other people ) ( are ( looking ( at ( pictures ( on ( a board ) ) ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (DT An) (JJ African-American) (JJ male) (NN youth)) (VP (VBZ is) (VP (VBG riding) (NP (DT a) (JJ green) (NN bicycle)) (SBAR (IN while) (S (NP (JJ other) (NNS people)) (VP (VBP are) (VP (VBG looking) (PP (IN at) (NP (NP (NNS pictures)) (PP (IN on) (NP (DT a) (NN board))))))))))) (. .))),A boy is riding to the store to get some candy.,( ( A boy ) ( ( is ( ( riding ( to ( the store ) ) ) ( to ( get ( some candy ) ) ) ) ) . ) ),(ROOT (S (NP (DT A) (NN boy)) (VP (VBZ is) (VP (VBG riding) (PP (TO to) (NP (DT the) (NN store))) (S (VP (TO to) (VP (VB get) (NP (DT some) (NN candy))))))) (. .)))
"['contradiction', 'contradiction', 'contradiction', 'contradiction', 'contradiction']",4937201390.jpg#4,contradiction,4937201390.jpg#4r1c,A group of people are standing on steps in front of a building.,( ( ( A group ) ( of people ) ) ( ( are ( standing ( on ( steps ( in ( front ( of ( a building ) ) ) ) ) ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN group)) (PP (IN of) (NP (NNS people)))) (VP (VBP are) (VP (VBG standing) (PP (IN on) (NP (NP (NNS steps)) (PP (IN in) (NP (NP (NN front)) (PP (IN of) (NP (DT a) (NN building))))))))) (. .))),A man in a blue shirt poses for the camera.,( ( ( A man ) ( in ( a ( blue shirt ) ) ) ) ( ( poses ( for ( the camera ) ) ) . ) ),(ROOT (S (NP (NP (DT A) (NN man)) (PP (IN in) (NP (DT a) (JJ blue) (NN shirt)))) (VP (VBZ poses) (PP (IN for) (NP (DT the) (NN camera)))) (. .)))
